Pair,Expiries,24h Maker Vol.,24h Range,24h Taker Vol.,24h Total Vol.,24h Percentage,Monthly Maker Vol.,Monthly Range,Monthly Taker Vol.,Monthly Total Vol.,Monthly Percentage
MINA-USDT-SWAP,All,30595.660999999998078674,40%-50%,0,30595.660999999998078674,0.019287659833287727,1320717.657999999985674507,30%-40%,273.762999999999991695,1320991.420999999985666202,0.011913088228329144
MIR-USDT-SWAP,All,null,null,null,null,0,59549.14200000000285564,40%-50%,129.6800000000000086,59678.82200000000286424,0.000766437835142163
NEAR-USDT-SWAP,All,288017.3999999999842356,20%-30%,1271.5999999999999304,289288.999999999984166,0.009838735950480534,25648889.76000000014655999,20%-30%,10627.799999999999656,25659517.56000000014621599,0.010092434632797836
NEO-USDT-SWAP,All,246142.720000000002874364,20%-30%,0,246142.720000000002874364,0.031386108677618675,2298826.549999999987062206,20%-30%,125.559000000000008155,2298952.108999999987070361,0.025104738491694246
OMG-USDT-SWAP,All,66860.112000000002348544,30%-40%,0,66860.112000000002348544,0.012353546544450852,748010.273999999979059223,50%-60%,307.11999999999999744,748317.393999999979056663,0.004267560982774238
PEOPLE-USDT-SWAP,All,959766.5247999999657422,40%-50%,0,959766.5247999999657422,0.004272681272068129,8938148.5560999999472291,40%-50%,410.2119000000000093,8938558.7679999999472384,0.003723163113736402
QTUM-USDT-SWAP,All,32585.611000000000103894,40%-50%,0,32585.611000000000103894,0.015778786557945207,1321335.281999999996624863,30%-40%,548.500000000000032,1321883.781999999996656863,0.01669742517104134
SAND-USDT-SWAP,All,102041.12800000000769136,50%-60%,84.37800000000000636,102125.50600000000769772,0.003749636327650829,14656822.95200000015601378,30%-40%,24226.65399999999846612,14681049.6060000001544799,0.014031667364406147
SHIB-USDT-SWAP,All,371300.16,30%-40%,0,371300.16,0.005734321564192322,7981370,30%-40%,11177.28,7992547.28,0.002297236878781446
SLP-USDT-SWAP,All,59872.2811,30%-40%,0,59872.2811,0.012699363755133628,3807702.11899999992351213,20%-30%,0,3807702.11899999992351213,0.017299228210432901
SOL-USDT-SWAP,All,138599.935999999995174928,60%-70%,107.775999999999996248,138707.711999999995171176,0.001256806275431148,22302043.337000000145071982,30%-40%,1874.712999999999908591,22303918.050000000144980573,0.004741562724108034
STORJ-USDT-SWAP,All,29961.93899999999897541,30%-40%,30.70499999999999895,29992.64399999999897436,0.022560806436696569,853043.1389999999868516,40%-50%,99.17299999999999892,853142.31199999998685052,0.009469125728411982
SUSHI-USDT-SWAP,All,306019.45360000001285256,30%-40%,100.0020000000000042,306119.45560000001285676,0.009747094619089681,3074230.210200000042327164,40%-50%,664.87800000000000906,3074895.088200000042336224,0.005691443447860311
TRX-USDT-SWAP,All,631929.59999999999172,20%-30%,0,631929.59999999999172,0.02090629284464453,23110982.600000000363956,30%-40%,0,23110982.600000000363956,0.008714966238747473
UNI-USDT-SWAP,All,175357.439999999991420928,30%-40%,0,175357.439999999991420928,0.011232992751432478,4692737.826000000021920626,30%-40%,375.785999999999980074,4693113.6120000000219007,0.008463924551821053
WAVES-USDT-SWAP,All,160870.154000000002375992,40%-50%,448.488000000000006624,161318.642000000002382616,0.005859420642013357,12589867.653999999964546686,20%-30%,1610.33200000000001138,12591477.985999999964558066,0.009320406426679608
XLM-USDT-SWAP,All,88019.5970000000032315,20%-30%,0,88019.5970000000032315,0.033702181803011973,2411554.1510000000120166,40%-50%,696.280000000000012,2412250.4310000000120286,0.012262154355239561
XRP-USDT-SWAP,All,133457.6519999999965548,50%-60%,0,133457.6519999999965548,0.009473884806998333,12111400.7789999998570761,20%-30%,431.0040000000000315,12111831.7829999998571076,0.012717706062977684
XTZ-USDT-SWAP,All,110746.15499999999200942,40%-50%,0,110746.15499999999200942,0.01230833307658176,2586976.262999999995292608,40%-50%,88.66899999999999559,2587064.931999999995288198,0.013416308031336703
YGG-USDT-SWAP,All,209833.909199999997532011,20%-30%,0,209833.909199999997532011,0.042776837133815729,3076677.265100000022282368,30%-40%,255.004000000000009505,3076932.269100000022291873,0.031769546470972411
ZEC-USDT-SWAP,All,93765.23999999999509199,40%-50%,0,93765.23999999999509199,0.006707233231334292,6071083.501999999983223536,30%-40%,548.099999999999987211,6071631.601999999983210747,0.010501319078830996
ZIL-USDT-SWAP,All,170256.9969999999970041,40%-50%,0,170256.9969999999970041,0.003804930597705205,9053010.4499999998810164,40%-50%,1328.29,9054338.7399999998810164,0.005881809667217883
