Pair,Expiries,24h Maker Vol.,24h Range,24h Taker Vol.,24h Total Vol.,24h Percentage,Monthly Maker Vol.,Monthly Range,Monthly Taker Vol.,Monthly Total Vol.,Monthly Percentage
CRO-USDT-SWAP,All,215230.4220000000057718,10%-20%,0,215230.4220000000057718,0.089751743548675525,4090689.23570000005824218,30%-40%,1112.6699999999999916,4091801.90570000005823378,0.020795939166260484
CRV-USDT-SWAP,All,210077.377299999990935357,30%-40%,0,210077.377299999990935357,0.00592263073387244,10898407.842800000303458533,30%-40%,0,10898407.842800000303458533,0.00998252791511385
CSPR-USDT-SWAP,All,38242.798199999998023628,20%-30%,0,38242.798199999998023628,0.044551106528200118,638157.99039999998212524,30%-40%,94.00999999999999526,638252.0003999999821205,0.021501104592931062
DASH-USDT-SWAP,All,67361.140999999997802841,30%-40%,0,67361.140999999997802841,0.013377565770103606,4063906.599999999976283521,20%-30%,11.690000000000000568,4063918.289999999976284089,0.020097542848359696
DOGE-USDT-SWAP,All,749174.399999999990952,30%-40%,0,749174.399999999990952,0.013035210050135423,51911123.305000002479096,20%-30%,14726.272999999999096,51925849.578000002478192,0.015278692310627588
DOT-USDT-SWAP,All,1029193.483999999953115435,20%-30%,0,1029193.483999999953115435,0.017840595869634472,8151058.587999999894060867,50%-60%,2898.577999999999924809,8153957.165999999893985676,0.003151811417888358
DYDX-USDT-SWAP,All,136171.589999999986328965,30%-40%,0,136171.589999999986328965,0.009898671818571728,8629489.010999999968955839,30%-40%,1322.8320000000000186,8630811.842999999968974439,0.013812068183704996
EGLD-USDT-SWAP,All,32285.15499999999939737,40%-50%,0,32285.15499999999939737,0.013007992463827846,494988.212000000006107539,50%-60%,2032.960000000000036383,497021.172000000006143922,0.004269995943741611
ELON-USDT-SWAP,All,11516.4034,50%-60%,0,11516.4034,0.062825999643578156,998059.81044,40%-50%,141.08,998200.89044,0.028667940372468292
ENS-USDT-SWAP,All,123094.918800000007398804,50%-60%,0,123094.918800000007398804,0.003220318010270371,8712063.378199999959324416,40%-50%,141.185999999999992836,8712204.564199999959317252,0.003677553948983603
EOS-USDT-SWAP,All,183838.0440000000076362,30%-40%,0,183838.0440000000076362,0.00676960193238882,7824249.6519999999066571,40%-50%,1503.4319999999998884,7825753.0839999999065455,0.006657167060233441
ETC-USDT-SWAP,All,2622467.4000000000411066,10%-20%,0,2622467.4000000000411066,0.034109106274054728,20928284.65999999979528333,20%-30%,3267.51000000000004777,20931552.1699999997953311,0.01250308075165017
ETH-USDT-SWAP,All,9758842.71999999995478063,30%-40%,0,9758842.71999999995478063,0.004062440992676903,217632959.468999999694943489,40%-50%,294674.88300000000258479,217927634.351999999697528279,0.002934864722775658
FIL-USDT-SWAP,All,322678.86079999997981333,40%-50%,0,322678.86079999997981333,0.006415851588294234,4666975.151199999877816014,50%-60%,989.639999999999989902,4667964.791199999877805916,0.00282834034411449
FTM-USDT-SWAP,All,331506.68799999999524608,50%-60%,0,331506.68799999999524608,0.004314153955488725,11573162.54800000011269533,30%-40%,16564.82600000000039352,11589727.37400000011308885,0.007929965823046834
GALA-USDT-SWAP,All,171374.70899999999367621,40%-50%,0,171374.70899999999367621,0.006740545455504767,13613949.64130000004919765,30%-40%,6813.6899999999999767,13620763.33130000004917435,0.011537180811759162
GMT-USDT-SWAP,All,920875.79480000005712629,30%-40%,0,920875.79480000005712629,0.013715060343294241,35747065.89839999967808045,30%-40%,568.04099999999998256,35747633.93939999967806301,0.010815043930388226
ICP-USDT-SWAP,All,202246.243999999993478662,30%-40%,0,202246.243999999993478662,0.012542236637889872,3918198.684799999988205328,30%-40%,236.340000000000014076,3918435.024799999988219404,0.008267605434199833
KSM-USDT-SWAP,All,4270.106000000000244652,75%-100%,0,4270.106000000000244652,0.000605298272537235,452772.630999999987498316,60%-70%,398.949999999999978683,453171.580999999987476999,0.002292507444754501
LINK-USDT-SWAP,All,45221.342000000001859199,60%-70%,0,45221.342000000001859199,0.002842306908643122,4166002.435000000153570148,50%-60%,3898.624000000000101742,4169901.05900000015367189,0.005276164394636314
LRC-USDT-SWAP,All,125862.3000000000092376,50%-60%,0,125862.3000000000092376,0.00315460903624604,1773286.01100000005244965,50%-60%,301.21000000000000432,1773587.22100000005245397,0.004520374507326573
LTC-USDT-SWAP,All,295644.00000000002421384,40%-50%,0,295644.00000000002421384,0.006607417058303476,8252247.680000000187700567,30%-40%,4545.899999999999820945,8256793.580000000187521512,0.005941935656567917
LUNA-USDT-SWAP,All,null,null,null,null,0,123478158.388959998639809413,20%-30%,98950.374900000003696601,123577108.763859998643506014,0.013744814679025812
MANA-USDT-SWAP,All,22658.45400000000060102,60%-70%,0,22658.45400000000060102,0.001230750177065474,3009234.4180000000155803,50%-60%,4587.09200000000010636,3013821.51000000001568666,0.002927711955670649
MATIC-USDT-SWAP,All,135679.0799999999887746,40%-50%,0,135679.0799999999887746,0.005590536736398802,3994104.0830000000121835,40%-50%,1317.9600000000000648,3995422.0430000000122483,0.00404834662914805
MINA-USDT-SWAP,All,54853.54000000000021854,30%-40%,0,54853.54000000000021854,0.021279620483898609,1375571.197999999985893047,30%-40%,273.762999999999991695,1375844.960999999985884742,0.012125927372485401
MIR-USDT-SWAP,All,null,null,null,null,0,59549.14200000000285564,40%-50%,129.6800000000000086,59678.82200000000286424,0.000766437835142163
NEAR-USDT-SWAP,All,398775.62999999997998211,20%-30%,0,398775.62999999997998211,0.011728960250436064,26047665.3900000001265421,20%-30%,10627.799999999999656,26058293.1900000001261981,0.010114039307731709
NEO-USDT-SWAP,All,135573.218999999995972341,20%-30%,0,135573.218999999995972341,0.032461508457333818,2434399.768999999983034547,20%-30%,125.559000000000008155,2434525.327999999983042702,0.025425640467165345
OMG-USDT-SWAP,All,38349.531999999996913182,40%-50%,0,38349.531999999996913182,0.012236289296586376,786359.805999999975972405,50%-60%,307.11999999999999744,786666.925999999975969845,0.004407543784233161
PEOPLE-USDT-SWAP,All,942014.0592000000364176,40%-50%,0,942014.0592000000364176,0.006560967238942501,9880162.6152999999836467,40%-50%,410.2119000000000093,9880572.827199999983656,0.003883306692542632
QTUM-USDT-SWAP,All,29055.684000000000876524,30%-40%,0,29055.684000000000876524,0.02825052647999376,1350390.965999999997501387,30%-40%,548.500000000000032,1350939.465999999997533387,0.016845653591719136
SAND-USDT-SWAP,All,247270.70400000001497912,20%-30%,0,247270.70400000001497912,0.010869183792441831,14904093.6560000001709929,30%-40%,24226.65399999999846612,14928320.31000000016945902,0.013964258606774649
SHIB-USDT-SWAP,All,264638.22,30%-40%,0,264638.22,0.00513001104046903,8246008.22,30%-40%,11177.28,8257185.5,0.002338682020880204
SLP-USDT-SWAP,All,56771.5546,30%-40%,0,56771.5546,0.012390148300920941,3864473.67359999992351213,20%-30%,0,3864473.67359999992351213,0.017199119871766181
SOL-USDT-SWAP,All,209668.032000000000238716,50%-60%,0,209668.032000000000238716,0.00160258679243478,22511711.369000000145310698,30%-40%,1874.712999999999908591,22513586.082000000145219289,0.004656613325234184
STORJ-USDT-SWAP,All,31644.91799999999728224,20%-30%,0,31644.91799999999728224,0.028781147382654047,884688.05699999998413384,40%-50%,99.17299999999999892,884787.22999999998413276,0.009701985280558192
SUSHI-USDT-SWAP,All,405601.615299999999006548,30%-40%,0,405601.615299999999006548,0.009347160158847114,3479831.825500000041333712,40%-50%,664.87800000000000906,3480496.703500000041342772,0.005963287619815534
TRX-USDT-SWAP,All,2142660.00000000007839,20%-30%,0,2142660.00000000007839,0.017126250550556849,25253642.600000000442346,30%-40%,0,25253642.600000000442346,0.009093914681969894
UNI-USDT-SWAP,All,459339.715999999986548262,20%-30%,0,459339.715999999986548262,0.026385801301737046,5152077.542000000008468888,30%-40%,375.785999999999980074,5152453.328000000008448962,0.009009514277481822
WAVES-USDT-SWAP,All,218702.16000000000169506,30%-40%,0,218702.16000000000169506,0.010265325594670155,12808569.813999999966241746,20%-30%,1610.33200000000001138,12810180.145999999966253126,0.009335078528705275
XLM-USDT-SWAP,All,129630.5919999999909532,20%-30%,0,129630.5919999999909532,0.038921263043772869,2541184.7430000000029698,40%-50%,696.280000000000012,2541881.0230000000029818,0.012706113171152233
XRP-USDT-SWAP,All,491953.3200000000048624,30%-40%,0,491953.3200000000048624,0.020287828137595402,12603354.0989999998619385,20%-30%,431.0040000000000315,12603785.10299999986197,0.012905674877913275
XTZ-USDT-SWAP,All,255034.972799999995288152,30%-40%,0,255034.972799999995288152,0.01767388240445533,2842011.23579999999058076,40%-50%,88.66899999999999559,2842099.90479999999057635,0.013712742395721772
YGG-USDT-SWAP,All,138449.43969999998983335,20%-30%,0,138449.43969999998983335,0.038153476300272604,3215126.704800000012115718,30%-40%,255.004000000000009505,3215381.708800000012125223,0.032000114256946416
ZEC-USDT-SWAP,All,172937.259999999995099399,40%-50%,0,172937.259999999995099399,0.008395194454750574,6244020.761999999978322935,30%-40%,548.099999999999987211,6244568.861999999978310146,0.010428856425946928
ZIL-USDT-SWAP,All,141733.0560000000082788,40%-50%,0,141733.0560000000082788,0.004632537042586069,9194743.5059999998892952,40%-50%,1328.29,9196071.7959999998892952,0.005857460772936881
